id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
17718;http://www.convertiblecenter.fr/img/p/0.jpg;SOLDE POIRIER;;Accueil;0.000000;0;-3;1
11051;http://www.convertiblecenter.fr/img/p/3/1/0/2/2/31022.jpg;Canapé convertible 2 places BOLOGNE - Largeur 160 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1706.405670;979;-19;1
17710;http://www.convertiblecenter.fr/img/p/3/5/9/4/7/35947.jpg;Canapé convertible 4 places MILANO - Largeur 208 cm - Matelas 18 cm - Couchage 160 cm - Sommier doubles lattes larges;;Convertibles 4 places - 160 cm;2157.083333;1299;0;1
17566;http://www.convertiblecenter.fr/img/p/3/0/6/0/5/30605.jpg;Canapé convertible 3 places MANOSQUE - Largeur 188 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;1669.608370;899;-8;1
15931;http://www.convertiblecenter.fr/img/p/3/3/7/2/0/33720.jpg;Fauteuil convertible PARIS - Largeur 126 cm - Couchage 100 cm;;Fauteuils convertibles - 100 cm;1656.340640;1069;-3;1
11751;http://www.convertiblecenter.fr/img/p/3/0/4/6/1/30461.jpg;Canapé convertible 2 places DELICE - Largeur 154 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1475.324800;779;18;1
17719;http://www.convertiblecenter.fr/img/p/3/6/6/8/7/36687.jpg;Matelas Equilibre 140 x 190 - Épaisseur 18cm pour convertible d'une densité de 40KG/M3 - Garanti 5 ans;;Matelas quotidien 40KG/M3;352.500000;429;16;1
61;http://www.convertiblecenter.fr/img/p/1/0/7/8/5/10785.jpg;Fauteuil cabriolet IBIZA;;Fauteuils cabriolet;665.250003;399;-1;1
17595;http://www.convertiblecenter.fr/img/p/3/3/0/9/1/33091.jpg;Canapé convertible 4 places SMILE - Largeur 203 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2822.916667;1699;0;1
12641;http://www.convertiblecenter.fr/img/p/3/2/0/8/0/32080.jpg;Canapé convertible 3 places MIAMI - Largeur 196 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2213.564910;1599;-7;1
17727;http://www.convertiblecenter.fr/img/p/3/6/3/8/4/36384.jpg;Canapé convertible 3 places DUOMO - Largeur 197 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2223.750000;1499;1;1
4406;http://www.convertiblecenter.fr/img/p/3/4/6/7/3/34673.jpg;Matelas Plénitude 140 x 190 pour convertible d'une densité de 35KG/M3 - Garanti 5 ans;;Matelas quotidien 35KG/M3;285.833333;349;97;1
17628;http://www.convertiblecenter.fr/img/p/3/4/2/5/0/34250.jpg;Canapé 3 places relax électrique ANGEL - Largeur 202cm;;Canapés relax;2331.666667;1399;0;1
13041;http://www.convertiblecenter.fr/img/p/3/3/4/9/6/33496.jpg;Canapé convertible 3 places NAPOLI - Largeur 188 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2145.214590;1399;-1;1
17737;http://www.convertiblecenter.fr/img/p/3/6/6/9/0/36690.jpg;Matelas Equilibre 120 x 190 - Épaisseur 18cm pour convertible d'une densité de 40KG/M3 - Garanti 5 ans;;Matelas quotidien 40KG/M3;327.500000;399;0;1
4508;http://www.convertiblecenter.fr/img/p/3/6/1/5/5/36155.jpg;Matelas 100 x 190 d'une densité de 35KG/M3 - pour achat canapé convertible;;Matelas options;152.500000;189;30;1
17649;http://www.convertiblecenter.fr/img/p/3/4/4/5/1/34451.jpg;Banquette BZ ARCACHON - Largeur 164cm - Couchage 160cm;;Clic-Clac & BZ;1331.666667;799;-2;1
13841;http://www.convertiblecenter.fr/img/p/2/8/3/5/4/28354.jpg;Canapé convertible 3 places VENISE - Largeur 200 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;3116.570770;1499;0;1
17745;http://www.convertiblecenter.fr/img/p/3/6/6/0/7/36607.jpg;Canapé convertible 4 places FOCUS - Largeur 210 cm -  Matelas 18cm - Couchage 160 cm - Sommier doubles lattes larges;;Convertibles 4 places - 160 cm;3240.416667;1799;0;1
4519;http://www.convertiblecenter.fr/img/p/3/4/6/8/0/34680.jpg;Matelas 160 x 190 d'une densité de 40KG/M3 - pour achat canapé convertible;;Matelas options;285.833333;349;69;1
17669;http://www.convertiblecenter.fr/img/p/3/6/0/3/7/36037.jpg;EGO - Largeur 250 cm - Canapé convertible 3 places + pouf à droite - Couchage 140 cm;;Convertibles 3 places - 140 cm;3017.750000;1649;-1;1
17756;http://www.convertiblecenter.fr/img/p/3/6/9/1/6/36916.jpg;SMART - Largeur 271 cm - Canapé d'angle convertible - Méridienne à gauche - Couchage 140 cm;;Angles convertibles 5 places  - 140 cm;3490.416667;2399;0;1
10251;http://www.convertiblecenter.fr/img/p/3/0/9/3/5/30935.jpg;Canapé convertible 2 places MONTPELLIER - Largeur 154 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;1613.600860;869;-4;1
17678;http://www.convertiblecenter.fr/img/p/3/4/8/7/3/34873.jpg;Canapé convertible 2 places ROMA - Largeur 176 cm - Couchage 120 cm - Sommier doubles lattes larges;;Accueil;1504.223333;999;0;1
10751;http://www.convertiblecenter.fr/img/p/3/1/0/8/0/31080.jpg;Canapé convertible 2 places BLOIS - Largeur 170 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;2482.916667;1069;-2;1
17701;http://www.convertiblecenter.fr/img/p/3/5/4/5/0/35450.jpg;RENNES - Largeur 238 cm - Canapé d'angle convertible - Méridienne à gauche - Couchage 120 cm;;Angles convertibles 4 places - 120 cm;2923.476440;1678;0;1
15531;http://www.convertiblecenter.fr/img/p/3/3/6/1/8/33618.jpg;Fauteuil convertible MARSEILLE - Largeur 128 cm - Couchage 100 cm;;Fauteuils convertibles - 100 cm;1701.956620;929;-7;1
