Campaign;"Daily Budget";"Campaign Type";Networks;Languages;"DSA Website";"DSA Language";"DSA targeting source";"Targeting expansion";ID;Location;"Ad rotation";"Targeting method";"Exclusion method";"Bid Strategy Type";"Enhanced CPC";"Max CPC";"Ad Group Type";"Ad Group";"Ad type";"Description line 1";"Description line 2";"Dynamic Ad Target Condition 1";"Dynamic Ad Target Value 1";"Dynamic Ad Target Condition 2";"Dynamic Ad Target Value 2";"Dynamic Ad Target Condition 3";"Campaign Status";"Ad Group Status";Status
"ANA DSA TEST [DO NOT USE]";10;Search;"""Google search;Search Partners""";fr;autoradio-fr.com;fr;Google;;;;"Optimize for clicks";"Location of presence";"Location of presence";"Manual CPC";Enabled;;;;;;;;;;;;;Paused;
"ANA DSA TEST [DO NOT USE]";;;;;;;;;2250;France;;;;;;;;;;;;;;;;;;;
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR33";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR33";;;;"URL equals";https://autoradio-fr.com/33-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR33";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR32";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR32";;;;"URL equals";https://autoradio-fr.com/32-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR32";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR31";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR31";;;;"URL equals";https://autoradio-fr.com/31-camera-de-recul-ccd-universelle.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Caméra de recul CCD universelle _ FR31";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio 2 DIN GPS avec MirrorLink _ FR1741";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio 2 DIN GPS avec MirrorLink _ FR1741";;;;"URL equals";https://autoradio-fr.com/1741-autoradio-mp5.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio 2 DIN GPS avec MirrorLink _ FR1741";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Autoradio Bluetooth GPS MirrorLink _ FR1740";;;;;;;;;Paused;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio Bluetooth GPS MirrorLink _ FR1740";;;;"URL equals";https://autoradio-fr.com/1740-autoradio-1-din.html;None;;None;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;;;;;;;;;;;"Autoradio Bluetooth GPS MirrorLink _ FR1740";"Expanded Dynamic Search Ad";"Test numero 1";"Test Numero 2";;;;;;Paused;Enabled;Enabled
"ANA DSA TEST [DO NOT USE]";;;;;;;;Disabled;;;;;;;;0,1;Dynamic;"Caméra de recul CCD universelle _ FR34";;;;;;;;;Paused;Enabled
